"","name","price","latitude","longitude"
"405","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"406","Arnold Arboretum",NA,42.299889474,-71.122416281924
"407","Mike & Patty's",1,42.348561,-71.067928
"408","Chilacates Mexican Street Food",1,42.31635,-71.10315
"409","Steel & Rye",3,42.2698212,-71.0725174
"410","Gaslight",2,42.3409677894859,-71.0673901926598
"411","Coco Leaf",1,42.30007,-71.05991
"412","Toscanini's Ice Cream",2,42.366042,-71.078206
"413","El Barrio Mexican Grill",2,42.2894867,-71.0632446
"414","Ashmont Grill",2,42.2861,-71.06473
"415","Row 34",3,42.3495808510305,-71.0475044128162
"416","Flour Bakery + Café",2,42.35137,-71.04881
"417","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"418","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"419","Flour Bakery & Cafe",2,42.338443,-71.074548
"420","Picco",2,42.3448751089207,-71.0705310984679
"421","Modern Pastry Shop",1,42.36324,-71.05474
"422","Barcelona Brookline",3,42.3387152,-71.1389332
"423","The Salty Pig",2,42.346881,-71.076121
"424","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"425","Sam LaGrassa's",2,42.35689,-71.05994
"426","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"427","Shabu Restaurant",2,42.27407,-71.025864
"428","Regina Pizza",2,42.3654185550275,-71.0568833173494
"429","El Pelón Taquería",1,42.3432217195996,-71.0989652411179
"430","O Ya",4,42.3514083135866,-71.056866645813
"431","The Beehive",2,42.3446991683707,-71.0713935252701
"432","Oleana Restaurant",3,42.37055,-71.09713
"433","The Capital Grille",4,42.3478110031284,-71.0851110928626
"434","Life Alive",2,42.366593014329,-71.105495948582
"435","Drink",3,42.35067,-71.04846
"436","Banh Mi Ba Le",1,42.3148574,-71.0567825
"437","Shanti Indian Cuisine",2,42.312894,-71.057514
"438","Lambert's Rainbow Market",1,42.2946604,-71.0481778
"439","James Hook & Co",2,42.3549617,-71.0509737
"440","Craigie On Main",4,42.3634817952265,-71.0986128859795
"441","Mistral",4,42.3481578332115,-71.072759141675
"442","Myers & Chang",2,42.3438187315924,-71.066250270967
"443","Thinking Cup",2,42.3539,-71.06372
"444","Yankee Lobster",2,42.347921583679,-71.035987943405
"445","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"446","Cafe Polonia",2,42.32878,-71.05712
"447","Doyles Cafe",2,42.3064270019531,-71.1072463989258
"448","L'Espalier",4,42.3489650343414,-71.0809740424965
"449","B Cafe",1,42.273435,-71.0256132
"450","Ten Tables",3,42.314933658972,-71.114245396185
"451","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"452","Arnold Arboretum",NA,42.299889474,-71.122416281924
"453","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"454","Toro",3,42.3369631861411,-71.0758940796503
"455","Giacomo's Ristorante",2,42.36458,-71.05344
"456","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"457","Chilacates Mexican Street Food",1,42.31635,-71.10315
